,name,saved_name,xsec,weight,ngen,final_events,final_over_ngen,lumi_pb,expected_weight,weight_diff,mZp,mChi
1,Zpbaryonic_1,MZp_1000_MChi_100,0.2077,0.00077910990751,954912.0,4936.735,0.005,59700,0.00077910990751,1.0,1000,100
2,Zpbaryonic_2,MZp_1000_MChi_1,0.2094,0.00078466265306,955915.0,4779.281,0.005,59700,0.00078466265306,1.0,1000,1
3,Zpbaryonic_3,MZp_1000_MChi_200,0.1947,0.000770496193453,905151.0,4537.168,0.005,59700,0.000770496193453,1.0,1000,200
4,Zpbaryonic_4,MZp_1000_MChi_400,0.09047,0.000370158657273,875472.0,4302.015,0.005,59700,0.000370158657273,1.0,1000,400
5,Zpbaryonic_5,MZp_1000_MChi_600,0.0001443,6.2379855299e-07,828605.0,5577.393,0.007,59700,6.2379855299e-07,1.0,1000,600
6,Zpbaryonic_6,MZp_1000_MChi_800,5.138e-06,1.80639904205e-08,1018840.0,7191.099,0.007,59700,1.80639904205e-08,1.0,1000,800
7,Zpbaryonic_7,MZp_100_MChi_1,3.322,0.012506691415,951443.0,3270.664,0.003,59700,0.012506691415,1.0,100,1
8,Zpbaryonic_8,MZp_100_MChi_50,0.9046,0.00309523451082,1046860.0,3396.615,0.003,59700,0.00309523451082,1.0,100,50
9,Zpbaryonic_9,MZp_1500_MChi_100,0.05066,0.000181836338986,997953.0,6202.901,0.006,59700,0.000181836338986,1.0,1500,100
10,Zpbaryonic_10,MZp_1500_MChi_1,0.0505,0.000180170677631,1003998.0,6118.563,0.006,59700,0.000180170677631,1.0,1500,1
11,Zpbaryonic_11,MZp_1500_MChi_200,0.04976,0.000177182364104,1005971.0,6263.061,0.006,59700,0.000177182364104,1.0,1500,200
12,Zpbaryonic_12,MZp_1500_MChi_400,0.04371,0.00016633331846,941298.0,5631.88,0.006,59700,0.00016633331846,1.0,1500,400
13,Zpbaryonic_13,MZp_1500_MChi_600,0.02549,9.3625500786e-05,975217.0,5136.066,0.005,59700,9.3625500786e-05,1.0,1500,600
14,Zpbaryonic_14,MZp_1500_MChi_800,0.0002038,7.88095839568e-07,926298.0,6172.606,0.007,59700,7.88095839568e-07,1.0,1500,800
15,Zpbaryonic_15,MZp_2000_MChi_100,0.01422,5.35526773689e-05,951139.0,6521.175,0.007,59700,5.35526773689e-05,1.0,2000,100
16,Zpbaryonic_16,MZp_2000_MChi_1,0.01425,5.41727912888e-05,942235.0,6132.427,0.007,59700,5.41727912888e-05,1.0,2000,1
17,Zpbaryonic_17,MZp_2000_MChi_200,0.01413,5.1280667644e-05,986993.0,6701.791,0.007,59700,5.1280667644e-05,1.0,2000,200
18,Zpbaryonic_18,MZp_2000_MChi_400,0.01351,5.52138255851e-05,876462.0,5844.796,0.007,59700,5.52138255851e-05,1.0,2000,400
19,Zpbaryonic_19,MZp_2000_MChi_600,0.01176,4.24580829904e-05,992139.0,6407.99,0.006,59700,4.24580829904e-05,1.0,2000,600
20,Zpbaryonic_20,MZp_2000_MChi_800,0.007706,2.90453723258e-05,950337.0,5551.853,0.006,59700,2.90453723258e-05,1.0,2000,800
21,Zpbaryonic_21,MZp_200_MChi_100,0.5484,0.00190502720264,1031150.0,3836.25,0.004,59700,0.00190502720264,1.0,200,100
22,Zpbaryonic_22,MZp_200_MChi_150,0.0033,1.38400420566e-05,854087.0,3699.659,0.004,59700,1.38400420566e-05,1.0,200,150
23,Zpbaryonic_23,MZp_200_MChi_1,2.67,0.00957065860234,999298.0,3374.289,0.003,59700,0.00957065860234,1.0,200,1
24,Zpbaryonic_24,MZp_200_MChi_50,2.184,0.00822230560399,951447.0,3189.284,0.003,59700,0.00822230560399,1.0,200,50
25,Zpbaryonic_25,MZp_2500_MChi_100,0.004391,1.68533729651e-05,933259.0,6483.868,0.007,59700,1.68533729651e-05,1.0,2500,100
26,Zpbaryonic_26,MZp_2500_MChi_1,0.004382,1.80116701647e-05,871453.0,5915.167,0.007,59700,1.80116701647e-05,1.0,2500,1
27,Zpbaryonic_27,MZp_2500_MChi_200,0.00435,1.65544212375e-05,941241.0,6556.112,0.007,59700,1.65544212375e-05,1.0,2500,200
28,Zpbaryonic_28,MZp_2500_MChi_400,0.004283,1.57497181997e-05,974094.0,6646.822,0.007,59700,1.57497181997e-05,1.0,2500,400
29,Zpbaryonic_29,MZp_2500_MChi_600,0.004033,1.67877437041e-05,860521.0,5840.084,0.007,59700,1.67877437041e-05,1.0,2500,600
30,Zpbaryonic_30,MZp_2500_MChi_800,0.003516,1.21814344604e-05,1033894.0,7157.969,0.007,59700,1.21814344604e-05,1.0,2500,800
31,Zpbaryonic_31,MZp_3000_MChi_100,0.001463,5.41286577493e-06,968150.0,6682.542,0.007,59700,5.41286577493e-06,1.0,3000,100
32,Zpbaryonic_32,MZp_3000_MChi_1,0.001458,5.21204330865e-06,1002017.0,6992.901,0.007,59700,5.21204330865e-06,1.0,3000,1
33,Zpbaryonic_33,MZp_3000_MChi_200,0.001456,5.63702452327e-06,925203.0,6356.711,0.007,59700,5.63702452327e-06,1.0,3000,200
34,Zpbaryonic_34,MZp_300_MChi_150,0.3163,0.00112126045813,1010458.0,4029.23,0.004,59700,0.00112126045813,1.0,300,150
35,Zpbaryonic_35,MZp_3500_MChi_100,0.0005227,1.88200371915e-06,994850.0,6755.654,0.007,59700,1.88200371915e-06,1.0,3500,100
36,Zpbaryonic_36,MZp_3500_MChi_1,0.0005255,1.86037002995e-06,1011810.0,7148.386,0.007,59700,1.86037002995e-06,1.0,3500,1
37,Zpbaryonic_37,MZp_350_MChi_50,1.858,0.00609527350791,1091888.0,3715.292,0.003,59700,0.00609527350791,1.0,350,50
38,Zpbaryonic_38,MZp_500_MChi_100,0.9952,0.00383763541452,928907.0,3480.043,0.004,59700,0.00383763541452,1.0,500,100
39,Zpbaryonic_39,MZp_500_MChi_1,1.139,0.00430062318431,948676.0,3652.128,0.004,59700,0.00430062318431,1.0,500,1
40,Zpbaryonic_40,MZp_500_MChi_200,0.4235,0.00150853673696,1005595.0,4280.487,0.004,59700,0.00150853673696,1.0,500,200
41,Zpbaryonic_41,MZp_500_MChi_400,0.0001253,4.79494507162e-07,936037.0,5890.389,0.006,59700,4.79494507162e-07,1.0,500,400
42,Zpbaryonic_42,MZp_650_MChi_50,0.6549,0.0024390300656,961797.0,4084.361,0.004,59700,0.0024390300656,1.0,650,50
43,Zpbaryonic_43,MZp_800_MChi_50,0.3935,0.00143859973219,979784.0,4442.161,0.005,59700,0.00143859973219,1.0,800,50
